ID,Question,Answer
18872,Why did the boy die when a car ran over his finger?,His finger was up his nose. 
7832,What do you do when your dishwasher breaks down?,Kick her in the ass.
36040,What's the worst part about Tupac's new sitcom?,"The Holocaust. (pun, hologram deal)"
31917,Why do Africans wear baggy pants?,Because their knee grows.
33642,what did the indian chief say when his dog jumped off the cliff?,dog gone
32810,What is brown and rhymes with Snoop?,Dr. Dre
5937,Have you guys heard of the unsolved Riemann Hypothesis?,"I am sure they will find the answer, sum-where."
16824,How does Donald Trump plan to get rid of illegal Mexican fans of Stars Wars?,Obi Juan by Juan Kenobi
21583,What is an electrician's favorite vehicle?,A Voltswagen
19294,Why does Piglet smell so bad?,Because he always plays with Pooh.
30155,What do all Amish women want?,2 Mennonite. 
6198,Why aren't pornstars of noble birth?,They common people. 
2801,What do you call a man with no body and a nose ?,Nobody knows!
3043,what's worse than having a cold right before a job interview ?,the holocaust
37284,Where do you find a dog with no arms or legs?,Right where ya left him.
23451,What type of sea creature do Chinese fishermen catch?,Crust-asian
3865,Why was Heisenberg's wife unhappy?,"Whenever he had the energy, he didn't have the time."
21572,Did you know they now sell 30 tog blankets?,Duvet?
2339,What room is it?,"When you arrive at the international airport you are American. There is a room that changes your nationality. When you enter this room you are Russian, when you leave this room you are Finnish, and while inside European. What room is it? "
2574,Why did Bob Dylan win the Nobel Prize in Literature?,He sure as shit wasn't gonna get it for singing.
9321,Why was the plumber sad?,He had a shitty job.
36816,What's the difference between heroin and the cast of the jersey shore?,I wouldn't shoot heroin.
34133,Why does the baker bake?,Because he kneads the dough.
10711,What happens when you eat beans with onions?,Tear gas! (Written by my 9 yr old son)
36037,How was copper wire invented???,2 jews fighting over a penny
22581,Why did the mother bear ask the baby bear to wear shoes before he ran through the forest?,Because he was barefooted!!!
21248,Hey do you know Deanda?,Deanda dis dick!!! HA! Got EEEM!
32501,How ugly was she?,Paper or plasic?
11414,How do you know when your sister is on her period?,When your dad's dick tastes like blood..
12225,What did Tarzan say when he saw a heard of elephants?,Oh look! A heard of elephants.
24160,What's every neckbeard's favorite singer?,Jason MRAz
27664,What do you have to do to have beautiful hands?,Nothing.
25405,Why does an elephant have four feet?,Because he'd look pretty silly with four inches.
23633,What kind of a cake requires goggles to eat?,Bukkake
2157,What do Donald Trump and the milk in my fridge have in common?,It better get thrown out by November 8 or else I'm going to get violently sick.
4000,Why aren't there any feminists in Japan?,Whale huntings legal 
33604,"What do you call a couch, chair, and a table made out of plants?","What do you call a couch, chair, and a table made out of plants? Ferniture."
26454,Why didn't The African go to the classical music event?,He was a baroque ass'  negro
10775,What's the best things about Anti-Jokes?,They have a large following!
9379,What lies on it's back a hundred feet in the air?,A dead centipede.
33852,Have you heard of the Tempura House?,It's a shelter for lightly battered women.
2182,Why is there cotton in pill bottles?,To remind black people that they were cotton pickers before drug dealers.
22107,Why did Susie drop her ice cream?,Because she was hit by a bus.
20389,Did you hear that they're bringing back Pimp My Ride?,It's called Uber. 
15229,Where is Donald Trump gonna put all of the illegal immigrants once he arrests them?,Juantanamo
1028,Why did the baker have brown hands?,He was kneading a poo.
13054,What does a frog do when it barbecues?,Rib it...duh!
1192,What happened when the Samsung Note 7 was launched?,It was an explosive success
5571,What do you call a company run entirely by ghosts?,An incorporation.
3360,What do you call a nymphomaniac with erectile dysfunction?,Sexually Frustrated 
26395,Where does the vampire deposit his savings?,In the blood bank. And why did he like to deposit his savings there? Because everyone there helped increase his savings.
11810,What's Chris Brown's favourite time of day?,12:34! 
14780,"If your father is a Priest, could you call him Father dad?","Shit thought, shit joke."
20673,What do 9/10 people enjoy?,Gangrape
3909,Why would 12:00 make the best cop?,"""Hands up"""
27418,What STD does a hip black man get?,Kool-AIDs
83,"What's cheaper, Beer Nuts or Deer Nuts?","Deer Nuts. Beer Nuts are $1.49, while Deer nuts are under a Buck!"
20091,Did you hear about the Pirate suffering from scurvy?,His attempts to cure it were  .
23192,What does a panther say when it steps on ants?,ded-ant.. ded-ant.. ded-ant dedan deadANT~~~ dedandead-annnnnt #  d-d-d-deadant.
12662,Why do baby birds love Amy Schumer's comedy?,They can't handle anything that hasn't been consumed and regurgitated. 
2700,What my iPhone and Steve Jobs have in common?,They are both dead...
18155,Why is an Alabama divorce like a tornado?,One way or the other someone is losing a trailer.
38165,"How do you make a cat go ""meow""?",Take it out of the freezer and run it through a bandsaw.
34077,What do you get when you pour boiling water down a rabbit hole?,Hot cross bunnies.
20629,What's a policeman's favorite gaming console?,"Wii-U, Wii-U, Wii-U!"
6060,What do you call a good looking girl in Wisconsin?,A Tourist!
33101,What does grandma's crotch smell like?,Depends
21857,What's the kinkiest leafy green?,Collared Greens
15619,What do cigarettes and pussy have in common?,"The closer you get to the butt, the more flavor you get."
34565,What is Brown and rhymes with Snoop?,"Dr. Dre, of course. "
7275,How did the Sex Ed teacher explain buttsex to her students?,She used an analogy
28871,What do you get when you cross a pyrotechnician and Mexican food?,Explosive Diarrhea
37347,What did one hat say to the other?,"""You stay here, I'll go on ahead...."""
32094,What do you call a prostitute with her hands up her own skirt?,Self Employed
31575,Why did the computer cross the road?,To get a byte to eat...
22115,What kind of investments do musicians make?,Sound investments.
19983,What do you call a female with down syndrome?,Debby Downer 
33069,What's a buffalo's favorite activity?,Grazing. 
16157,Why did a man bring a ladder to the party?,He heard the drinks were on the house..... I'll see myself out.
17784,What do you call a town in the middle of the Arctic Ocean?,An Iceburgh.
21534,"Wife: If i’m lost, then what you do?","Wife: If i’m lost, then what you do? Husband: i’ll advertise in newspaper about you, Wife: what will you write there about me ? Husband: who find my wife please leave far away from your destination. On the other side Mother-in-law sitting there and says that my daughter will come back gain, You Should write that who find me Wife, she will be your in form of reward."
24565,What vehicle do bicycle riders take to the hospital?,An Ambulance Armstrong
30172,Why can't Irish people become lawyers?,Because of their inability to pass the bar! Credit to my dad for this one
29769,Have you heard there's a new disease you can get from using Linux?,It's Terminal. (OC joke.)
30667,Can we make it a rule not to put anything after the punchline?,"Seriously,  it ruins the joke every time without fail."
1079,Is Google male or female?,"Female, because it doesn't let you finish a sentence before making a suggestion."
31901,What do you call a cow jumping over a barbed wire fence?,An udder disaster.
24083,Are you a geologist?,You can analyse my rocks anytime ;)
19300,Have you heard of corduroy pillows?,You haven't? Weird. They are really making headlines.
31460,What do LotR and Brokeback Mountain have in common?,Someone's ring gets broken.
11736,Why are pizza makers always poor?,Because they knead dough to make a living. 
18468,whats the difference between a woman and a computer?,a woman wont accept a 3 1/2 inch floppy.
6036,What's the best way to stop a German train?, them nicely.
29001,Did you hear the one about the guy with five dicks?,His pants fit like a glove!!
7793,What do you get when you step into the ring with Mohammad Ali?,Too soon
18681,What was the blacksmith's slogan?,"""Shop here! You'll be Gladius you did!"""
4623,How does a woman differ from a computer?,You can actually punch information into a computer.
3026,How many baby's does it take to paint a house?,Depends on how hard you throw them 
25576,What do you call a boring taco?,Aburrido.
36077,How is a vagina like a cigarette?,The closer you get to the butt the stronger the taste. 
17980,How is American beer comparable to having sex on a boat?,It's fucking close to water.
37759,"What will a blind, deaf child with no arms get for Christmas?",Cancer.
22661,Why can't two Asian parents have a Caucasian baby?,Two Wongs don't make a white
18136,Ferguson? What about Fergdudaughter?,Must have Asian parents.
24038,Why did the man drowning in the Nile River think he wasn't going to die?,Because he was in de-nile.
8981,What do Ted Cruz and Donald Trump's father have in common?,They pulled out too late.
36592,What is woman spelled backwards?,Kitchen
7407,What did one French Guy say to another French Guy?,"""Bonjour, je m'apelle Guy aussi!"" (""Hello, I am called Guy as well!"")"
3502,Would you pass the tea?,"Three older couples were having afternoon tea.   The first husband turns to his wife and says, ""Can you pass the honey, Honey?""   Not to be outdone, the second husband turns to his wife and says, ""Can you pass the sugar, Sugar?"" Feeling rather amorous, the third wife turns to her husband and asks, ""George, why don't we call each other cute names?""   George turns to her and says, ""Can you pass the tea, bag?"""
24326,what is the difference between aspirin and a strippers boyfriend?,asprin works.
19630,Why do girls always get mad when I try to read their shirts?,It's not my fault I'm blind.
31381,What is a physicist's favorite cookie?,Sig-fig Newtons
7600,Why'd the monkey fall out of the tree?,Because he was drunk Why did the second monkey fall out of the tree? He was tied to the first one Why did the third monkey fall out of the tree? Peer Pressure 
24070,Why don't asians like to applause?,Because every time they do all they do is crap
31279,"What did the cat say after reading """"To Kill a Mockingbird""?",I want a refund: there's not one darn thing about how to kill a bird   in this book.
21657,Why is Vladimir Putin always Russian?,Because he's never Finnish.
26335,How do you tell which truck is the mail truck?,It has huge balls on it. Credit goes to the 70 year old man who just came into my work and made my day.
5005,what do you call a deer with no eyes?,'No idea.....' 'What do you call a deer with no eyes and no legs?' 'Still no idea.......' My all time favourites :)
28792,Why can't Two-Face kill Batman?,Because he's two Dents.
29981,What do you get when you cross the Atlantic ocean with the Titanic?,About halfway.      
3206,Why haven’t you ever seen any elephants hiding up trees?,"Because they’re really, really good at it."
7962,What type of luggage talks in short sentences?,A brief case
19590,"Whats long, green, and smells like pork?",Kermits finger
4360,Why does Juan walk around the school like he owns the place?,Because his dad built it and his mom cleans it
17140,What do you call a fruit that won't get married?,A Cantaloupe.
12414,What kind of a battery does Dj Khaled use?,A Li-ion battery.
11806,What is the stinkiest number in Ireland?,Farty.
10273,Did you guys read the book about the midget that hung himself with a belt?,I heard it was top notch
10149,How is a Trump campaign chief like a vibrator?,Both are charged with battery.
13151,What do you call an exercise group run by Jesus Christ?,Crossfit.
37340,What's the difference between the Rolling Stones and a Scottsman?,"The Rolling Stones say ""Hey! You! Get off of my cloud!"" And a Scottsman says ""Hey McLeod, get of me ewe!"""
14129,What does a gay guy say when he can't remember?,I faggot
30211,What do you call a cute shortcoming?,Flaww
19478,Why doesn't Jesus play volleyball?,All those spikes hurt his hands
21203,What are they gonna start calling plastic surgery for sagging boobs on elderly transgender women?,broosts
35562,Did you know Helen Keller had a dollhouse?,Neither did she. 
2814,What university department did the Fonz go do when he needed help paying his tuition?,Financial Ayyyyyyd I'll
18601,Why was Betty Boop never attracted to Mickey Mouse?,She's only attracted to colored guys.
10558,What can stop supervirus from destroying humanity ?,Batvirus ( stolen joke xD )
6266,Pickup Line: How do you like your eggs?,"Fried, scrambled, or fertilized?"
26873,Did you hear about the man who drank bug spray?,He pissed off.
17488,Did you hear about the African who loved Monday Mornings?,He was a Monday morning kinda Gueye.
15940,How come Jesus didnt play hockey?,He kept getting nailed to the boards!
25802,Why are fat girls so good at giving head?,Because they have to be.
12124,Q: Have you ever tasted Ethiopian food?,A: Neither have they!
10427,What did the teenage boy who was jerking off in his room say when his mother called?,"One second mom, I'm coming!"
7495,What do you call it when some Israelis find a genie in the desert?,A djinn and Jews. 
6346,Why do walruses just love a Tupperware party?,They’re always on the lookout for a tight seal.
37276,What was the top item on Hitler's grocery list?,Concentrated Juice.
20075,How do New Zealander's find sheep in long grass?,Delightful
37270,"what's big, black and looks good on a lawyer's neck?",a doberman
7014,What does the doctor say after colonoscopy?,See ewwww later!
23499,What insect would Richard Simmons be?,Is he a ladybug or a fruit fly?
21549,How do we know Julius Caesar wasn't gay?,Because you have to be straight to be a good ruler
17638,what is worse than finding a worm in your apple?,The holocaust 
16665,Why did the sick bird come in jail?,Because it was an ill-eagle.
34898,Do you give head to strangers?,Or should I introduce myself?
28186,"If a tramp and a bunch of rich people are dressed the same, how does the tramp stand out?",He begs to differ.
29726,Have you ever heard of the ckicken plant?,I guess the eggplant came first! I work at a grocery store and a guy in the produce department told me this. He thought it was hilarious
4333,Why would Donald Trump want to lose the election?,Winning means he'd need to live in a smaller house in a black neighborhood
33893,Why did the lobster blush?,Because the see weed.
7490,What's the difference between telling a good joke and sex?,Dunno. I'm pretty shit at both. 
2325,What did one hash brownie say to the other?,"We're so baked. What did the stoner say to his friend? I'm so high,I can hear the brownies talking to each other."
34355,"If you're Canadian before you enter the bathroom, and American when you leave, what are you inside?",European!
2726,What do you call a cow with no sense of humor ?,A feminist 
22982,What did the pirate say when his wife kept asking him about the steering wheel in his pants?,"""Yargg! Woman! Stop asking me! You're driving me nuts!"""
2367,What are the 3 stages of sex after marriage?,Tri-weekly Try Weekly and Try Weakly
23464,"Why are male bathrooms on the left, and female bathrooms on the right?","Because no matter what, women are always right, even when they're full of shit."
36353,What's the roughest part about being a 7-year-old in Liberia?,The mid-life crisis.
23038,What's a storm trooper's favorite date?,March 4th
12196,Why did the monkey fall out of the tree?,Because it was dead.
32948,What do you call a kid who's dad is Jamaican and mom is Chinese?,Rastafriedrice
34764,How do you kill 100 flies?,Smack an Ethiopian kid in the face.
2963,Why do elephants have 4 feet?,Because in the animal kingdom 6 inches just wont do
15199,Why do women talk non-stop?,Because they don't like periods.
35826,What's another name for a Dentists?,A filling station!
27992,Why did the referee stop the leper hockey game?,There was a face off in the corner.
14094,Ever heard of the movie Constipation?,It hasn't come out yet.
37389,How do you hit 20 flies in one shot?,Hit an Ethiopian in the head with a frying pan.
717,Did you here about the earthquake that broke the world in half?,It was pretty  !
32407,Ever wonder about those people who spend $2.00 on those little bottles of Evian water?,Try spelling Evian backwards.
21187,Why did Minnie Mouse break-up with Mickey Mouse?,Because he was fuckin' Goofy.
15208,What do you call a cow with two legs?,Your mother!
23105,What'd the banana say to the vibrator?,Why are you shaking? She's gonna eat me.
17424,Why was there semen on the clean laundry?,"When Greg woke up, his mom had left a note reading, ""Please put a load in the washer"""
17034,What is a computer scammer's favorite band?,PHISH
17798,Why do sailors use liquid soap?,It takes longer to pick up when they drop it.
24635,How did the hipster burn their tongue?,They drank their tea before it was cool.
38022,How many muscles does a chicken have in its neck?,Just enough to hold it's pecker up...
36094,Why should you wrap your hamster in duct tape?,So it won't explode when you fuck it.
31040,What did the Cannibal do after he dumped his Girlfriend?,Wipe his ass.
315,Why are girlfriends like plungers?,They are always bringing up old shit
12169,What's the difference between jews and girl scouts?,The girl scouts come back from the camp.
36991,How can you tell if someone uses Apple products?,Just wait and they'll tell you.
14658,Where do you send a Jew with ADHD?,A concentration camp!
